,refcode,C11,C12,C13,C14,C15,C16,C21,C22,C23,C24,C25,C26,C31,C32,C33,C34,C35,C36,C41,C42,C43,C44,C45,C46,C51,C52,C53,C54,C55,C56,C61,C62,C63,C64,C65,C66,exp_a,exp_b,exp_c,exp_alpha,exp_beta,exp_gamma,exp_V,opt_a,opt_b,opt_c,opt_alpha,opt_beta,opt_gamma,opt_V,E_V,E_R,E_H,E_RH,K_V,K_R,K_H,K_RH,G_V,G_R,G_H,G_RH,n_H,A_L
1304,QARVOX,20.26,8.63,8.72,-0.31,0.34,-0.2,8.63,16.73,18.11,-4.07,-0.19,-1.54,8.72,18.11,34.07,-11.6,-0.39,-0.12,-0.31,-4.07,-11.6,8.45,-0.41,0.94,0.34,-0.19,-0.39,-0.41,2.6,-1.11,-0.2,-1.54,-0.12,0.94,-1.11,3.14,7.1556,10.330700000000002,10.3579,78.373,71.34499999999998,88.896,709.723606357049,7.045393271903829,10.045695931490489,10.280259123174206,80.35783534732391,71.30314034471502,88.49672340901428,679.1676089108844,14.083237022091946,6.60047211021135,10.341854566151648,8.4711633381815,15.775555555555554,12.151906842855679,13.963731199205617,13.057819021030648,5.211333333333333,2.3414685034089384,3.776400918371136,3.0589347108900373,0.3759601542933566,1.807918080548762
1305,YUNNON,16.7,10.5,7.85,-0.0,-0.77,-0.01,10.5,16.13,6.74,0.02,0.54,-0.01,7.85,6.74,13.9,0.02,-0.07,0.0,-0.0,0.02,0.02,3.11,0.01,1.61,-0.77,0.54,-0.07,0.01,4.0,-0.0,-0.01,-0.01,0.0,1.61,-0.0,4.38,13.0398,10.0178,15.485200000000004,90.0,106.286,90.0,1941.6648266946231,13.115692298898102,9.968780190597666,14.993493674902766,89.99995270158124,106.18955498048614,89.99999735560007,1882.6220762720293,10.057374505234343,8.850209667339806,9.453792086287073,9.152000876813439,10.767777777777775,10.443196179846634,10.605486978812205,10.52434157932942,3.7406666666666664,3.256731621394691,3.4986991440306787,3.377715382712685,0.3513938856828601,0.3112926195329773
1306,IDAZIX,18.54,10.44,4.45,0.02,-0.81,0.02,10.44,12.92,9.99,-0.01,-0.28,0.01,4.45,9.99,27.8,0.02,2.57,0.01,0.02,-0.01,0.02,2.75,-0.01,0.24,-0.81,-0.28,2.57,-0.01,3.77,0.0,0.02,0.01,0.01,0.24,0.0,4.04,7.97,6.155,34.738,90.0,90.2,90.0,1704.0743664325591,8.309044284922779,5.797208799428918,34.7795811640174,89.99672425515894,90.05666872428428,89.9995951829229,1675.3060270767717,11.78392106813273,8.627176972835692,10.205549020484211,9.416362996659952,12.113333333333333,11.666180815648282,11.889757074490808,11.777968945069546,4.404,3.133168773889096,3.768584386944548,3.450876580416822,0.35666369296905454,0.7622389121198907
1307,IGOCIS,17.12,10.46,9.26,-0.01,-3.16,-0.0,10.46,16.69,9.21,0.01,-0.6,-0.0,9.26,9.21,15.99,-0.01,1.55,-0.0,-0.01,0.01,-0.01,1.9,0.0,-0.36,-3.16,-0.6,1.55,0.0,4.01,0.0,-0.0,-0.0,-0.0,-0.36,0.0,3.21,13.4997,13.9995,10.1052,90.0,111.458,90.0,1777.3981596608078,13.377007557013153,14.325293073128886,9.950497925153886,90.00002621773615,112.36054977378744,90.0000256631633,1763.4330305743188,8.852815371762741,6.955400370538298,7.9041078711505195,7.429754120844409,11.962222222222223,11.818233974284814,11.89022809825352,11.854231036269166,3.2153333333333336,2.4806846231843793,2.8480089782588562,2.664346800721618,0.3890924612341241,0.580154505571024
1308,CAHBEV,13.91,7.08,10.04,0.0,0.0,0.0,7.08,16.62,8.24,-0.0,-0.0,0.0,10.04,8.24,16.91,-0.0,0.0,-0.0,0.0,-0.0,-0.0,3.04,0.0,-0.0,0.0,-0.0,0.0,0.0,4.45,-0.0,0.0,0.0,-0.0,-0.0,-0.0,1.99,9.3376,9.4039,30.19,90.0,90.0,90.0,2650.979571961599,8.859854984338204,9.36795667846472,30.71563551904055,89.99966569483753,89.99981161348816,90.0001324179728,2549.3589747715423,9.161019729549988,8.31128629477562,8.736153012162804,8.523719653469211,10.906666666666666,10.719083387536882,10.812875027101775,10.76597920731933,3.368,3.031609633643779,3.1998048168218896,3.115707225232834,0.36532214693652776,0.23592982442501212
1309,VUXYIY,16.47,8.38,9.49,-0.05,-0.02,0.03,8.38,16.36,9.72,-0.03,0.0,0.04,9.49,9.72,16.06,-0.03,-0.01,0.06,-0.05,-0.03,-0.03,3.86,-0.0,0.0,-0.02,0.0,-0.01,-0.0,4.05,0.0,0.03,0.04,0.06,0.0,0.0,3.05,20.669,13.906,12.406,90.0,90.0,90.0,3565.7711522840023,20.524569278979595,14.082884236243167,12.302008366616723,90.00019313696377,89.99857837070167,89.99976145335975,3555.8356452524326,9.81413085478565,9.66463591243903,9.73938338361234,9.702009648025685,11.563333333333334,11.55320591219261,11.558269622762971,11.55573776747779,3.612,3.5516658663714327,3.5818329331857166,3.5667493997785744,0.35956034960780386,0.03767649561206288
1310,FOXYEY,14.98,12.78,9.42,-0.01,-2.21,-0.02,12.78,14.18,11.61,0.01,0.65,0.0,9.42,11.61,13.92,0.01,0.08,-0.01,-0.01,0.01,0.01,4.8,-0.0,0.15,-2.21,0.65,0.08,-0.0,3.97,-0.01,-0.02,0.0,-0.01,0.15,-0.01,1.73,9.0491,12.7601,16.7496,90.0,109.944,90.0,1818.0422952767549,8.879226471615075,12.786275502726488,16.519541430515734,89.99869543338887,109.58730189758666,89.99957965322199,1766.968588282212,7.594593366651521,2.0346499640588527,4.814621665355187,3.4246358147070195,12.3,10.851743817100758,11.57587190855038,11.213807862825568,2.7179999999999995,0.6926464196322378,1.7053232098161186,1.1989848147241782,0.4297892267419032,3.0595656860651546
1311,UXUDUN,21.63,8.16,11.35,0.0,-0.44,0.0,8.16,21.23,12.56,-0.0,1.4,0.0,11.35,12.56,29.36,-0.01,4.87,-0.0,0.0,-0.0,-0.01,6.79,0.0,1.3,-0.44,1.4,4.87,0.0,5.32,-0.01,0.0,0.0,-0.0,1.3,-0.01,4.62,15.6059,7.7203,19.495,90.0,114.865,90.0,2131.0696557683195,15.48637345070911,7.64593730828591,19.438795881190718,89.99936068422338,114.34488272416742,90.00003428180138,2097.039624762615,15.954052891962597,13.890108902023092,14.922080896992846,14.40609489950797,15.151111111111113,14.115894869770553,14.633502990440833,14.374698930105694,6.022666666666667,5.198397190254355,5.610531928460511,5.404464559357433,0.3300217943362276,0.3366276546933718
1312,REJNEC,32.86,14.53,18.01,-0.0,1.57,-0.0,14.53,47.83,19.57,0.0,1.61,-0.0,18.01,19.57,61.19,0.01,-1.48,-0.0,-0.0,0.0,0.01,11.96,0.0,0.1,1.57,1.61,-1.48,0.0,8.1,-0.0,-0.0,-0.0,-0.0,0.1,-0.0,5.22,6.7417,11.6146,8.286,90.0,90.141,90.0,648.8096404898799,6.711293645388353,11.522731657278236,8.238834226920886,89.99915043908332,90.61885091450524,89.99749736838284,637.0919540236449,29.192986942289654,24.3739792610105,26.783483101650077,25.57873118133029,27.344444444444445,24.99225029956403,26.168347372004238,25.580298835784134,11.040666666666668,9.11206485921447,10.076365762940569,9.59421531107752,0.3293710948344271,0.43861583007510524
1313,JUCVIP,17.6,10.12,8.96,0.0,-0.01,0.04,10.12,17.5,9.03,-0.0,-0.0,0.01,8.96,9.03,24.3,0.0,-0.01,0.03,0.0,-0.0,0.0,3.98,0.01,-0.0,-0.01,-0.0,-0.01,0.01,3.96,-0.0,0.04,0.01,0.03,-0.0,-0.0,3.9,8.009,8.009,49.0398,90.0,90.0,119.99999999999996,2724.1806848371366,7.978542233224555,7.978995660771347,49.01350550989701,90.00186120129905,89.99683385508763,120.00295783105057,2702.1237095259817,11.977752244499232,11.43376726211532,11.705759753307277,11.569763507711297,12.846666666666666,12.671935376683253,12.75930102167496,12.715618199179106,4.454,4.235926456123692,4.344963228061846,4.290444842092769,0.34709041392765566,0.11308402001522294
1314,BUJQOP,26.99,9.92,7.95,-0.0,0.8,0.0,9.92,19.37,6.57,-0.0,0.9,-0.0,7.95,6.57,17.19,-0.0,-0.22,0.0,-0.0,-0.0,-0.0,6.71,0.0,0.32,0.8,0.9,-0.22,0.0,5.02,-0.0,0.0,-0.0,0.0,0.32,-0.0,9.91,5.9585,7.6205,10.1558,90.0,105.571,90.0,444.21729172104966,5.938348065289814,7.499539381876001,10.053418126561958,89.99742467516826,105.37055283932658,90.00069796409983,431.713288108042,17.556955927827314,16.4007021271132,16.978829027470255,16.689765577291727,12.492222222222223,11.769072877650624,12.130647549936423,11.949860213793524,6.935333333333333,6.468465217790025,6.701899275561679,6.585182246675853,0.26672191514620947,0.16685179769633893
1315,CUDPAU,17.72,9.11,9.5,0.0,-1.25,-0.0,9.11,19.19,7.77,-0.0,-0.06,0.0,9.5,7.77,15.16,-0.0,0.21,-0.0,0.0,-0.0,-0.0,1.08,0.0,-0.29,-1.25,-0.06,0.21,0.0,2.18,0.0,-0.0,0.0,-0.0,-0.29,0.0,2.89,11.0406,21.8933,16.4126,90.0,106.957,90.0,3794.697132760428,10.804834505507396,21.7486998214864,16.46230253173139,90.00006631826041,107.3139995366293,89.99949966421954,3693.205819216853,8.142315015221103,6.094237365300171,7.118276190260637,6.606256777780404,11.647777777777776,11.475357408471398,11.561567593124586,11.518462500797991,2.9426666666666668,2.1587987771665484,2.5507327219166074,2.3547657495415777,0.3972457544442492,0.692814462425569
1316,WEQZUQ,19.38,9.05,9.19,-0.0,-1.88,0.01,9.05,21.21,13.9,-0.0,-1.7,0.0,9.19,13.9,18.13,0.0,-0.6,0.0,-0.0,-0.0,0.0,5.92,0.0,0.04,-1.88,-1.7,-0.6,0.0,2.93,-0.0,0.01,0.0,0.0,0.04,-0.0,3.34,10.2858,17.9576,10.879,90.0,109.523,90.0,1893.913423196204,10.138798365111018,17.847309348004693,10.959379991505822,90.00057038596714,109.4344198876156,90.0004667938851,1870.111421743756,11.45388188453882,9.868854650255345,10.661368267397084,10.265111458826215,13.666666666666666,12.765227198006926,13.215946932336795,12.99058706517186,4.21,3.598752891375382,3.9043764456876913,3.751564668531537,0.3655277494623206,0.35735874827272907
1317,DEPKUH,21.39,9.75,8.52,0.0,0.36,0.01,9.75,16.41,10.57,-0.02,-0.42,0.0,8.52,10.57,19.97,0.01,-0.58,0.0,0.0,-0.02,0.01,4.16,0.0,-0.33,0.36,-0.42,-0.58,0.0,4.54,0.0,0.01,0.0,0.0,-0.33,0.0,4.8,41.5462,11.76645,9.09538,90.0,96.1532,90.0,4420.672457053261,40.6741710812146,11.560710729565637,9.153750172971888,90.00009672328363,96.42869886046874,90.00020125330555,4277.232105886043,12.395146749551554,11.933908406212659,12.164527577882106,12.049217992047382,12.827777777777776,12.742675624191289,12.785226700984532,12.763951162587912,4.628666666666666,4.439990332166403,4.534328499416534,4.487159415791469,0.34142011226481905,0.09329541554129672
1318,SOXGUI,21.33,5.85,17.34,-1.79,6.68,-1.88,5.85,14.68,4.46,0.07,-0.39,1.01,17.34,4.46,25.06,-2.49,10.84,-1.97,-1.79,0.07,-2.49,1.87,-2.45,-0.48,6.68,-0.39,10.84,-2.45,11.22,-1.56,-1.88,1.01,-1.97,-0.48,-1.56,1.96,7.3324,7.621399999999999,20.372,81.52500000000002,89.928,67.87,1041.236941410741,7.341680692328996,7.480101697415022,20.74168382325964,80.89218414922901,90.1042798658806,67.21730660032328,1034.4558344061404,13.844509403107113,4.701493154821048,9.273001278964081,6.987247216892564,12.93,9.548449919549427,11.239224959774713,10.39383743966207,5.2379999999999995,1.657864857498978,3.447932428749489,2.5528986431242338,0.3608418100031767,2.5901968142235052
1319,VONFAI,18.68,8.15,11.03,0.0,0.3,-0.05,8.15,17.78,8.61,0.64,1.06,0.2,11.03,8.61,17.44,0.98,1.42,0.01,0.0,0.64,0.98,6.15,-0.27,1.35,0.3,1.06,1.42,-0.27,6.35,-0.5,-0.05,0.2,0.01,1.35,-0.5,3.41,11.7761,11.8731,18.2788,92.501,94.696,116.609,2268.0904737506057,11.623709774879476,11.741586609348294,18.097594660871557,92.42463727035587,94.72662483934803,116.6156372571357,2192.0097661392983,13.012689459790098,11.548138044899844,12.28041375234497,11.914275898622407,12.164444444444445,11.892387885169168,12.028416164806806,11.960402024987987,4.922666666666667,4.314938660380701,4.6188026635236845,4.466870661952193,0.32979079973140785,0.29550751251325164
1320,ZZZZCA05,12.74,5.43,6.76,0.0,1.04,-0.0,5.43,12.51,14.36,0.01,-3.53,0.0,6.76,14.36,22.36,-0.0,-5.91,-0.01,0.0,0.01,-0.0,1.73,0.01,-1.07,1.04,-3.53,-5.91,0.01,3.84,0.0,-0.0,0.0,-0.01,-1.07,0.0,1.53,14.6753,4.9555,17.1183,90.0,93.43200000000002,90.0,1242.669149555055,14.502732704392493,5.037528129322162,16.823953413113358,89.99942881906216,94.24631846246984,89.99796052499426,1225.7490974405314,7.814613397812826,3.446507673990277,5.630560535901552,4.5385341049459145,11.19,8.298474190052676,9.744237095026339,9.021355642539508,2.824,1.2044154120022124,2.0142077060011063,1.6093115590016593,0.40330849707569133,1.9287959444706873
1321,YUJXIM,25.98,8.83,7.99,0.0,-0.33,-0.0,8.83,15.5,3.27,0.0,-1.52,0.0,7.99,3.27,16.21,-0.0,1.14,0.0,0.0,0.0,-0.0,2.58,0.0,-0.27,-0.33,-1.52,1.14,0.0,5.16,0.0,-0.0,0.0,0.0,-0.27,0.0,1.68,23.135,6.5721,14.9065,90.0,128.09499999999997,90.0,1783.6840924404128,23.20185737929512,6.545560111175911,14.93048118715552,89.99962410382243,127.97610750680852,90.00019806806934,1787.3802250549377,11.609513877631889,8.652623211482556,10.131068544557223,9.39184587801989,10.874444444444443,9.477711375422238,10.17607790993334,9.82689464267779,4.390666666666667,3.209804756166928,3.8002357114167973,3.5050202337918623,0.3339467602280861,0.7138572728354948
